Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
;;;;"Diarias   Civil";;27.000,00;4.320,00;4.320,00;4.320,00;4.320,00;100,00
;;;;;"SEM APLICACAO";27.000,00;4.320,00;4.320,00;4.320,00;4.320,00;100,00
;;;;"Indenizacoes e Restituicoes";;3.000,00;47.000,00;46.736,62;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;47.000,00;46.736,62;0,00;0,00;0,00
;;;;"Material de Consumo";;717.000,00;808.330,21;587.052,74;349.098,88;335.652,28;57,18
;;;;;"SEM APLICACAO";717.000,00;808.330,21;587.052,74;349.098,88;335.652,28;57,18
;;;;"Material de Distribuicao Gratuita";;278.000,00;884.816,79;854.341,40;554.371,40;554.371,40;64,89
;;;;;"SEM APLICACAO";278.000,00;884.816,79;854.341,40;554.371,40;554.371,40;64,89
;;;;"Obrigacoes Tributarias e Contributivas";;1.000,00;660,00;660,00;660,00;660,00;100,00
;;;;;"SEM APLICACAO";1.000,00;660,00;660,00;660,00;660,00;100,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;1.700.000,00;4.251.410,00;4.021.363,47;4.020.363,47;3.588.913,47;89,25
;;;;;"SEM APLICACAO";1.700.000,00;4.251.410,00;4.021.363,47;4.020.363,47;3.588.913,47;89,25
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;263.000,00;239.730,00;212.978,98;186.200,52;186.200,52;87,43
;;;;;"SEM APLICACAO";263.000,00;239.730,00;212.978,98;186.200,52;186.200,52;87,43
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;3.114.000,00;4.534.602,00;3.947.460,79;3.539.408,06;3.515.837,26;89,07
;;;;;"SEM APLICACAO";3.114.000,00;4.534.602,00;3.947.460,79;3.539.408,06;3.515.837,26;89,07
;;;;"Passagens e Despesas com Locomocao";;95.300,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";95.300,00;0,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;1.210.000,00;1.294.798,00;1.294.798,00;828.231,50;819.573,50;63,30
;;;;;"SEM APLICACAO";1.210.000,00;1.294.798,00;1.294.798,00;828.231,50;819.573,50;63,30
;;;"PESSOAL E ENCARGOS SOCIAIS";;;3.969.500,00;3.731.120,00;3.656.704,71;3.656.704,71;3.656.704,71;100,00
;;;;"Contratacao por Tempo Determinado";;96.100,00;86.100,00;13.487,67;13.487,67;13.487,67;100,00
;;;;;"SEM APLICACAO";96.100,00;86.100,00;13.487,67;13.487,67;13.487,67;100,00
;;;;"Despesas de Exercicios Anteriores";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;188.200,00;46.950,00;45.177,80;45.177,80;45.177,80;100,00
;;;;;"SEM APLICACAO";188.200,00;46.950,00;45.177,80;45.177,80;45.177,80;100,00
;;;;"Ressarcimento de Despesas de Pessoal Requisitado";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;3.670.200,00;3.598.070,00;3.598.039,24;3.598.039,24;3.598.039,24;100,00
;;;;;"SEM APLICACAO";3.670.200,00;3.598.070,00;3.598.039,24;3.598.039,24;3.598.039,24;100,00
;;"DESPESAS DE CAPITAL";;;;37.000,00;56.786,00;56.771,38;19.782,18;19.782,18;34,85
;;;"INVESTIMENTOS";;;37.000,00;56.786,00;56.771,38;19.782,18;19.782,18;34,85
;;;;"Equipamentos e Material Permanente";;37.000,00;56.786,00;56.771,38;19.782,18;19.782,18;34,85
;;;;;"SEM APLICACAO";37.000,00;56.786,00;56.771,38;19.782,18;19.782,18;34,85
;"FUNDO MUNICIPAL DE DEFESA DO CONSUMIDOR   ADMINISTRACAO DIRETA";;;;;100.000,00;3.115,00;2.690,00;2.690,00;2.690,00;100,00
;;"DESPESAS CORRENTES";;;;99.000,00;5,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;39.000,00;5,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;20.000,00;5,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";20.000,00;5,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;60.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;55.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";55.000,00;0,00;0,00;0,00;0,00;0,00
;;"DESPESAS DE CAPITAL";;;;1.000,00;3.110,00;2.690,00;2.690,00;2.690,00;100,00
;;;"INVESTIMENTOS";;;1.000,00;3.110,00;2.690,00;2.690,00;2.690,00;100,00
;;;;"Equipamentos e Material Permanente";;1.000,00;3.110,00;2.690,00;2.690,00;2.690,00;100,00
;;;;;"SEM APLICACAO";1.000,00;3.110,00;2.690,00;2.690,00;2.690,00;100,00
;"FUNDO MUNICIPAL DE EDUCACAO DO PAULISTA   ADMINISTRACAO DIRETA";;;;;184.568.500,00;159.808.319,04;139.534.578,69;133.039.620,94;132.744.733,43;95,13
;;"DESPESAS CORRENTES";;;;159.540.800,00;144.155.931,04;128.819.082,04;123.008.502,73;122.713.615,22;95,26
;;;"OUTRAS DESPESAS CORRENTES";;;73.656.800,00;54.553.911,04;39.440.702,23;33.682.547,53;33.418.295,35;84,73
;;;;"Auxilio Alimentacao";;20.000,00;4.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";20.000,00;4.000,00;0,00;0,00;0,00;0,00
;;;;"Auxilio Transporte";;4.510.500,00;600.100,00;588.763,27;587.007,35;586.766,55;99,66
;;;;;"SEM APLICACAO";4.510.500,00;600.100,00;588.763,27;587.007,35;586.766,55;99,66
;;;;"Contribuicoes";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;134.000,00;190,00;182,58;182,58;182,58;100,00
;;;;;"SEM APLICACAO";134.000,00;190,00;182,58;182,58;182,58;100,00
;;;;"Diarias   Civil";;24.000,00;3.410,00;3.410,00;3.410,00;3.410,00;100,00
;;;;;"SEM APLICACAO";24.000,00;3.410,00;3.410,00;3.410,00;3.410,00;100,00
;;;;"Indenizacoes e Restituicoes";;4.000,00;4.252.902,00;4.252.044,59;4.194.631,50;4.194.631,50;98,65
;;;;;"SEM APLICACAO";4.000,00;4.252.902,00;4.252.044,59;4.194.631,50;4.194.631,50;98,65
;;;;"Material de Consumo";;9.057.800,00;18.506.481,04;13.896.094,51;13.431.368,04;13.431.368,04;96,66
;;;;;"SEM APLICACAO";9.057.800,00;18.506.481,04;13.896.094,51;13.431.368,04;13.431.368,04;96,66
;;;;"Material de Distribuicao Gratuita";;5.145.000,00;1.311.715,00;792.685,70;792.685,70;792.685,70;100,00
;;;;;"SEM APLICACAO";5.145.000,00;1.311.715,00;792.685,70;792.685,70;792.685,70;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;15.500,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";15.500,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;610.000,00;352.780,00;345.008,21;233.516,33;231.806,93;67,19
;;;;;"SEM APLICACAO";610.000,00;352.780,00;345.008,21;233.516,33;231.806,93;67,19
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;54.074.000,00;29.496.213,00;19.543.695,37;14.422.809,83;14.160.507,85;72,46
;;;;;"SEM APLICACAO";54.074.000,00;29.496.213,00;19.543.695,37;14.422.809,83;14.160.507,85;72,46
;;;;"Passagens e Despesas com Locomocao";;9.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";9.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";;8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";8.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;3.000,00;7.300,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;7.300,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;41.000,00;18.820,00;18.818,00;16.936,20;16.936,20;90,00
;;;;;"SEM APLICACAO";41.000,00;18.820,00;18.818,00;16.936,20;16.936,20;90,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;85.884.000,00;89.602.020,00;89.378.379,81;89.325.955,20;89.295.319,87;99,91
;;;;"Contratacao por Tempo Determinado";;4.112.900,00;10.170,00;10.158,33;10.158,33;10.158,33;100,00
;;;;;"SEM APLICACAO";4.112.900,00;10.170,00;10.158,33;10.158,33;10.158,33;100,00
;;;;"Contribuicoes Patronais  19  I ";;15.608.300,00;17.041.640,00;17.003.882,23;16.951.457,62;16.920.822,29;99,51
;;;;;"SEM APLICACAO";14.070.300,00;16.459.970,00;16.441.845,23;16.441.845,23;16.441.845,23;100,00
;;;;"Despesas de Exercicios Anteriores";;5.000,00;37.800,00;37.734,82;37.734,82;37.734,82;100,00
;;;;;"SEM APLICACAO";5.000,00;37.800,00;37.734,82;37.734,82;37.734,82;100,00
;;;;"Obrigacoes Patronais";;15.608.300,00;17.041.640,00;17.003.882,23;16.951.457,62;16.920.822,29;99,51
;;;;;"SEM APLICACAO";1.538.000,00;581.670,00;562.037,00;509.612,39;478.977,06;85,22
;;;;"Outras Despesas Variaveis   Pessoal Civil";;2.832.800,00;3.755.660,00;3.631.270,44;3.631.270,44;3.631.270,44;100,00
;;;;;"SEM APLICACAO";2.832.800,00;3.755.660,00;3.631.270,44;3.631.270,44;3.631.270,44;100,00
;;;;"Pensoes";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Ressarcimento de Despesas de Pessoal Requisitado";;501.800,00;11.070,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";501.800,00;11.070,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;62.818.200,00;68.745.680,00;68.695.333,99;68.695.333,99;68.695.333,99;100,00
;;;;;"SEM APLICACAO";62.818.200,00;68.745.680,00;68.695.333,99;68.695.333,99;68.695.333,99;100,00
;;"DESPESAS DE CAPITAL";;;;25.027.700,00;15.652.388,00;10.715.496,65;10.031.118,21;10.031.118,21;93,61
;;;"INVESTIMENTOS";;;25.027.700,00;15.652.388,00;10.715.496,65;10.031.118,21;10.031.118,21;93,61
;;;;"Contribuicoes";;6.700,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";6.700,00;0,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;2.213.000,00;14.734.050,00;9.797.160,45;9.593.307,23;9.593.307,23;97,92
;;;;;"SEM APLICACAO";2.213.000,00;14.734.050,00;9.797.160,45;9.593.307,23;9.593.307,23;97,92
;;;;"Obras e Instalacoes";;22.806.000,00;918.338,00;918.336,20;437.810,98;437.810,98;47,67
;;;;;"SEM APLICACAO";22.806.000,00;918.338,00;918.336,20;437.810,98;437.810,98;47,67
;;;;"Servicos de Consultoria";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE ILUMINACAO PUBLICA   ADMINISTRACAO DIRETA";;;;;17.385.000,00;18.596.320,00;18.261.898,14;17.496.648,14;17.496.645,14;95,81
;;"DESPESAS CORRENTES";;;;16.682.000,00;18.584.890,00;18.250.476,98;17.485.226,98;17.485.223,98;95,81
;;;"OUTRAS DESPESAS CORRENTES";;;16.670.000,00;18.584.890,00;18.250.476,98;17.485.226,98;17.485.223,98;95,81
;;;;"Despesas de Exercicios Anteriores";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Diarias   Civil";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;16.664.000,00;18.326.890,00;17.992.476,98;17.302.476,98;17.302.473,98;96,17
;;;;;"SEM APLICACAO";16.664.000,00;18.326.890,00;17.992.476,98;17.302.476,98;17.302.473,98;96,17
;;;;"Passagens e Despesas com Locomocao";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;0,00;258.000,00;258.000,00;182.750,00;182.750,00;70,83
;;;;;"SEM APLICACAO";0,00;258.000,00;258.000,00;182.750,00;182.750,00;70,83
;;;"PESSOAL E ENCARGOS SOCIAIS";;;12.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;6.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";6.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;6.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";6.000,00;0,00;0,00;0,00;0,00;0,00
;;"DESPESAS DE CAPITAL";;;;703.000,00;11.430,00;11.421,16;11.421,16;11.421,16;100,00
;;;"INVESTIMENTOS";;;703.000,00;11.430,00;11.421,16;11.421,16;11.421,16;100,00
;;;;"Equipamentos e Material Permanente";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;700.000,00;11.430,00;11.421,16;11.421,16;11.421,16;100,00
;;;;;"SEM APLICACAO";700.000,00;11.430,00;11.421,16;11.421,16;11.421,16;100,00
;"FUNDO MUNICIPAL DE INCENTIVO A CULTURA   ADMINISTRACAO DIRETA";;;;;180.000,00;2.163.040,00;1.340.941,86;1.340.941,86;0,00;0,00
;;"DESPESAS CORRENTES";;;;125.000,00;2.163.040,00;1.340.941,86;1.340.941,86;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;115.000,00;2.163.040,00;1.340.941,86;1.340.941,86;0,00;0,00
;;;;"Material de Consumo";;25.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";25.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;0,00;1.081.520,00;792.000,00;792.000,00;0,00;0,00
;;;;;"SEM APLICACAO";0,00;1.081.520,00;792.000,00;792.000,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;25.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";25.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;65.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";65.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";;0,00;1.081.520,00;548.941,86;548.941,86;0,00;0,00
;;;;;"SEM APLICACAO";0,00;1.081.520,00;548.941,86;548.941,86;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;"DESPESAS DE CAPITAL";;;;55.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVESTIMENTOS";;;55.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Obras e Instalacoes";;50.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";50.000,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE LIMPEZA URBANA E MANEJO DE RESIDUOS SOLIDOS   ADM. DIRETA";;;;;31.000.000,00;33.392.670,00;33.208.841,99;31.976.244,64;31.975.974,64;96,29
;;"DESPESAS CORRENTES";;;;31.000.000,00;33.392.670,00;33.208.841,99;31.976.244,64;31.975.974,64;96,29
;;;"OUTRAS DESPESAS CORRENTES";;;31.000.000,00;33.392.670,00;33.208.841,99;31.976.244,64;31.975.974,64;96,29
;;;;"Despesas de Exercicios Anteriores";;250.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";250.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;30.750.000,00;33.392.670,00;33.208.841,99;31.976.244,64;31.975.974,64;96,29
;;;;;"SEM APLICACAO";30.750.000,00;33.392.670,00;33.208.841,99;31.976.244,64;31.975.974,64;96,29
;"FUNDO MUNICIPAL DE MEIO AMBIENTE   ADMINISTRACAO DIRETA";;;;;2.085.400,00;2.108.310,00;2.108.170,33;2.108.170,33;2.108.170,33;100,00
;;"DESPESAS CORRENTES";;;;2.054.000,00;2.108.310,00;2.108.170,33;2.108.170,33;2.108.170,33;100,00
;;;"OUTRAS DESPESAS CORRENTES";;;429.700,00;130,00;0,00;0,00;0,00;0,00
;;;;"Auxilio Alimentacao";;67.300,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";67.300,00;0,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;15.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";15.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Diarias   Civil";;2.800,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.800,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;73.800,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";73.800,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;56.900,00;30,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";56.900,00;30,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;200.900,00;100,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";200.900,00;100,00;0,00;0,00;0,00;0,00
;;;;"Passagens e Despesas com Locomocao";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;1.624.300,00;2.108.180,00;2.108.170,33;2.108.170,33;2.108.170,33;100,00
;;;;"Contratacao por Tempo Determinado";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;15.000,00;47.840,00;47.837,61;47.837,61;47.837,61;100,00
;;;;;"SEM APLICACAO";15.000,00;47.840,00;47.837,61;47.837,61;47.837,61;100,00
;;;;"Ressarcimento de Despesas de Pessoal Requisitado";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;1.594.300,00;2.060.340,00;2.060.332,72;2.060.332,72;2.060.332,72;100,00
;;;;;"SEM APLICACAO";1.594.300,00;2.060.340,00;2.060.332,72;2.060.332,72;2.060.332,72;100,00
;;"DESPESAS DE CAPITAL";;;;31.400,00;0,00;0,00;0,00;0,00;0,00
;;;"INVESTIMENTOS";;;31.400,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;31.400,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";31.400,00;0,00;0,00;0,00;0,00;0,00
;"FUNDO MUNICIPAL DE SEGURANCA PUBLICA CIDADA   ADMINISTRACAO DIRETA";;;;;800.800,00;807.746,00;807.727,70;797.630,17;779.995,17;96,57
;;"DESPESAS CORRENTES";;;;798.800,00;807.746,00;807.727,70;797.630,17;779.995,17;96,57
;;;"OUTRAS DESPESAS CORRENTES";;;204.000,00;181.066,00;181.057,64;170.960,11;153.325,11;84,68
;;;;"Despesas de Exercicios Anteriores";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Diarias   Civil";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;12.000,00;10.000,00;10.000,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";12.000,00;10.000,00;10.000,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;186.000,00;171.066,00;171.057,64;170.960,11;153.325,11;89,63
;;;;;"SEM APLICACAO";186.000,00;171.066,00;171.057,64;170.960,11;153.325,11;89,63
;;;;"Passagens e Despesas com Locomocao";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;594.800,00;626.680,00;626.670,06;626.670,06;626.670,06;100,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;15.100,00;32.710,00;32.706,77;32.706,77;32.706,77;100,00
;;;;;"SEM APLICACAO";15.100,00;32.710,00;32.706,77;32.706,77;32.706,77;100,00
;;;;"Ressarcimento de Despesas de Pessoal Requisitado";;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";0,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;579.700,00;593.970,00;593.963,29;593.963,29;593.963,29;100,00
;;;;;"SEM APLICACAO";579.700,00;593.970,00;593.963,29;593.963,29;593.963,29;100,00
;;"DESPESAS DE CAPITAL";;;;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVESTIMENTOS";;;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;"GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS   ADMINISTRACAO DIRETA";;;;;5.356.900,00;4.387.784,00;4.344.808,39;4.330.817,55;4.330.817,55;99,68
;;"DESPESAS CORRENTES";;;;5.328.900,00;4.387.784,00;4.344.808,39;4.330.817,55;4.330.817,55;99,68
;;;"OUTRAS DESPESAS CORRENTES";;;1.028.200,00;785.824,00;742.956,44;731.756,46;731.756,46;98,49
;;;;"Auxilio Alimentacao";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Contribuicoes";;129.500,00;124.110,00;123.646,96;117.146,96;117.146,96;94,74
;;;;;"SEM APLICACAO";129.500,00;124.110,00;123.646,96;117.146,96;117.146,96;94,74
;;;;"Despesas de Exercicios Anteriores";;1.000,00;80.661,70;80.659,00;80.659,00;80.659,00;100,00
;;;;;"SEM APLICACAO";1.000,00;80.661,70;80.659,00;80.659,00;80.659,00;100,00
;;;;"Diarias   Civil";;12.000,00;790,00;790,00;790,00;790,00;100,00
;;;;;"SEM APLICACAO";12.000,00;790,00;790,00;790,00;790,00;100,00
;;;;"Indenizacoes e Restituicoes";;1.000,00;179.520,00;179.512,36;179.512,36;179.512,36;100,00
;;;;;"SEM APLICACAO";1.000,00;179.520,00;179.512,36;179.512,36;179.512,36;100,00
;;;;"Material de Consumo";;27.000,00;3.500,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";27.000,00;3.500,00;0,00;0,00;0,00;0,00
;;;;"Material de Distribuicao Gratuita";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;838.700,00;397.242,30;358.348,12;353.648,14;353.648,14;98,69
;;;;;"SEM APLICACAO";838.700,00;397.242,30;358.348,12;353.648,14;353.648,14;98,69
;;;;"Passagens e Despesas com Locomocao";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;4.300.700,00;3.601.960,00;3.601.851,95;3.599.061,09;3.599.061,09;99,92
;;;;"Despesas de Exercicios Anteriores";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;15.000,00;93.890,00;93.828,34;93.828,34;93.828,34;100,00
;;;;;"SEM APLICACAO";15.000,00;93.890,00;93.828,34;93.828,34;93.828,34;100,00
;;;;"Ressarcimento de Despesas de Pessoal Requisitado";;314.900,00;28.160,00;28.156,44;25.365,58;25.365,58;90,09
;;;;;"SEM APLICACAO";314.900,00;28.160,00;28.156,44;25.365,58;25.365,58;90,09
